,name,state,state_name,accuracy,f1,precision,recall
0,LR,INICIAL,INICIAL_LR,0.9871,0.9767,0.9676,0.9877
0,LR,ISO,ISO_LR,0.9979,0.9931,0.9881,0.9984
0,LR,SFS,SFS_LR,0.9672,0.9386,0.9375,0.9404
0,LR,ISO_SFS,ISO_SFS_LR,0.9812,0.9673,0.9531,0.9854
1,SVM,INICIAL,INICIAL_SVM,0.9821,0.9731,0.9899,0.9582
1,SVM,ISO,ISO_SVM,0.9969,0.9876,0.9949,0.9812
1,SVM,SFS,SFS_SVM,0.9831,0.9751,0.9853,0.9657
1,SVM,ISO_SFS,ISO_SFS_SVM,0.9948,0.9895,0.9915,0.9877
2,MLP,INICIAL,INICIAL_MLP,0.3231,0.0977,0.0646,0.2
2,MLP,ISO,ISO_MLP,0.363,0.1065,0.0726,0.2
2,MLP,SFS,SFS_MLP,0.328,0.1051,0.3316,0.203
2,MLP,ISO_SFS,ISO_SFS_MLP,0.363,0.1065,0.0726,0.2
3,DTC,INICIAL,INICIAL_DTC,0.9841,0.9665,0.9733,0.96
3,DTC,ISO,ISO_DTC,0.9864,0.9772,0.968,0.9874
3,DTC,SFS,SFS_DTC,0.841,0.7086,0.7119,0.7056
3,DTC,ISO_SFS,ISO_SFS_DTC,0.8598,0.736,0.7312,0.7419
